id,source,study_family,component,endpoint,value,unit,lower,upper,interval_type,source_url,evidence_level,cohort,testosterone_gel_g_day,reported_spread,spread_type,source_locator,time_window,behavior_score_numeric_available,months,warning,domain_maximum,hcg_IU_every_other_day,sperm_threshold_million_ml,events,denominator,group,relative_ovulation_day,sample_time
v14_021,TRAVERSE2024,TRAVERSE,hormones_to_behavior,TRT_minus_placebo_sexual_activity,0.49,PDQ sexual-activity events/day,0.19,0.79,95% CI,https://pubmed.ncbi.nlm.nih.gov/37589949/,L3/L4 imported,,,,,Primary abstract,,,6.0,Composite includes activities other than intercourse; not a per-T-unit slope,,,,,,,,
v14_022,TRAVERSE2024,TRAVERSE,hormones_to_behavior,TRT_minus_placebo_sexual_activity,0.47,PDQ sexual-activity events/day,0.11,0.83,95% CI,https://pubmed.ncbi.nlm.nih.gov/37589949/,L3/L4 imported,,,,,Primary abstract,,,12.0,Composite includes activities other than intercourse; not a per-T-unit slope,,,,,,,,
v14_023,T4DM2025,T4DM,hormones_to_behavior,sexual_desire,0.68,IIEF domain points,0.49,0.86,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC12187511/,L3/L4 imported,,,,,Table2 randomized-treatment coefficient,,,,Not a natural population hormone dose-response,10.0,,,,,,,
v14_024,T4DM2025,T4DM,hormones_to_behavior,erectile_function,2.5,IIEF domain points,1.7,3.4,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC12187511/,L3/L4 imported,,,,,Table2 randomized-treatment coefficient,,,,Not a natural population hormone dose-response,30.0,,,,,,,
v14_025,T4DM2025,T4DM,hormones_to_behavior,orgasmic_function,0.87,IIEF domain points,0.52,1.2,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC12187511/,L3/L4 imported,,,,,Table2 randomized-treatment coefficient,,,,Not a natural population hormone dose-response,10.0,,,,,,,
v14_026,T4DM2025,T4DM,hormones_to_behavior,intercourse_satisfaction,1.5,IIEF domain points,1.1,1.9,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC12187511/,L3/L4 imported,,,,,Table2 randomized-treatment coefficient,,,,Not a natural population hormone dose-response,15.0,,,,,,,
v14_027,T4DM2025,T4DM,hormones_to_behavior,overall_satisfaction,0.7,IIEF domain points,0.46,0.95,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC12187511/,L3/L4 imported,,,,,Table2 randomized-treatment coefficient,,,,Not a natural population hormone dose-response,10.0,,,,,,,
v14_028,Natsal2021,Natsal3,hormones_behavior_joint_distribution,vaginal_sex_last4weeks_yes_vs_no,13.44,salivary T pmol/L difference,1.53,25.35,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC7613951/,L3/L4 imported,,,,,Table1 adjusted coefficient3,,,,T is regression outcome; do not invert to causal behavior slope,,,,,,,,
v14_029,Natsal2021,Natsal3,hormones_behavior_joint_distribution,lacked_interest_yes_vs_no,3.55,salivary T pmol/L difference,-10.29,17.38,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC7613951/,L3/L4 imported,,,,,Table1 adjusted coefficient3,,,,T is regression outcome; do not invert to causal behavior slope,,,,,,,,
v14_030,Natsal2021,Natsal3,hormones_behavior_joint_distribution,sex_5plus_vs_0to2_last4weeks,7.59,salivary T pmol/L difference,-6.16,21.35,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC7613951/,L3/L4 imported,,,,,Table1 adjusted coefficient3,,,,T is regression outcome; do not invert to causal behavior slope,,,,,,,,
v14_031,Natsal2021,Natsal3,hormones_behavior_joint_distribution,low_overall_sexual_function,0.72,salivary T pmol/L difference,-13.67,15.12,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC7613951/,L3/L4 imported,,,,,Table1 adjusted coefficient3,,,,T is regression outcome; do not invert to causal behavior slope,,,,,,,,
v14_032,Coviello2005,Coviello_hCG,gonadotropins_to_intratesticular_T,ITT_followup_over_baseline,0.06,ratio,,,,https://doi.org/10.1210/jc.2004-0802,L3/L4 imported,,,,,Abstract,3weeks,,,All groups also received200mg/week testosterone enanthate; not serum-T to sperm slope,,0.0,,,,,,
v14_033,Coviello2005,Coviello_hCG,gonadotropins_to_intratesticular_T,ITT_followup_over_baseline,0.75,ratio,,,,https://doi.org/10.1210/jc.2004-0802,L3/L4 imported,,,,,Abstract,3weeks,,,All groups also received200mg/week testosterone enanthate; not serum-T to sperm slope,,125.0,,,,,,
v14_034,Coviello2005,Coviello_hCG,gonadotropins_to_intratesticular_T,ITT_followup_over_baseline,0.93,ratio,,,,https://doi.org/10.1210/jc.2004-0802,L3/L4 imported,,,,,Abstract,3weeks,,,All groups also received200mg/week testosterone enanthate; not serum-T to sperm slope,,250.0,,,,,,
v14_035,Coviello2005,Coviello_hCG,gonadotropins_to_intratesticular_T,ITT_followup_over_baseline,1.26,ratio,,,,https://doi.org/10.1210/jc.2004-0802,L3/L4 imported,,,,,Abstract,3weeks,,,All groups also received200mg/week testosterone enanthate; not serum-T to sperm slope,,500.0,,,,,,
v14_036,Ly2005,WHO_male_contraception,sperm_dynamics,suppression,6.8,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,10.0,,,,,
v14_037,Ly2005,WHO_male_contraception,sperm_dynamics,suppression,8.7,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,5.0,,,,,
v14_038,Ly2005,WHO_male_contraception,sperm_dynamics,suppression,10.0,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,3.0,,,,,
v14_039,Ly2005,WHO_male_contraception,sperm_dynamics,suppression,13.0,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,1.0,,,,,
v14_040,Ly2005,WHO_male_contraception,sperm_dynamics,recovery,9.0,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,3.0,,,,,
v14_041,Ly2005,WHO_male_contraception,sperm_dynamics,recovery,9.9,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,5.0,,,,,
v14_042,Ly2005,WHO_male_contraception,sperm_dynamics,recovery,11.5,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,10.0,,,,,
v14_043,Ly2005,WHO_male_contraception,sperm_dynamics,recovery,13.6,weeks,,,,https://pubmed.ncbi.nlm.nih.gov/15860500/,L3/L4 imported,,,,,Primary abstract fitted threshold-crossing times,,,,"Original authors model estimates, not8 independent measured timepoints; no universal environmental lag",,,20.0,,,,,
v14_044,Liu2006,Male_contraception_overlaps_Ly2005,sperm_dynamics,median_recovery_time,3.4,months,3.2,3.5,95% CI,https://pubmed.ncbi.nlm.nih.gov/16650651/,L3/L4 imported,,,,,Primary abstract,,,,Overlaps male-contraception study family; do not pool independently with Ly,,,20.0,,,,,
v14_045,Liu2006,Male_contraception_overlaps_Ly2005,sperm_dynamics,median_recovery_time,3.0,months,2.9,3.1,95% CI,https://pubmed.ncbi.nlm.nih.gov/16650651/,L3/L4 imported,,,,,Primary abstract,,,,Overlaps male-contraception study family; do not pool independently with Ly,,,10.0,,,,,
v14_046,Liu2006,Male_contraception_overlaps_Ly2005,sperm_dynamics,median_recovery_time,2.5,months,2.4,2.7,95% CI,https://pubmed.ncbi.nlm.nih.gov/16650651/,L3/L4 imported,,,,,Primary abstract,,,,Overlaps male-contraception study family; do not pool independently with Ly,,,3.0,,,,,
v14_047,Mabeck2005,Danish_first_pregnancy_planners,hormone_marker_to_conception,inhibin_B_fecundability_odds_ratio,1.428,FOR per1 log(pg/mL),1.022,1.994,95% CI,https://pubmed.ncbi.nlm.nih.gov/16024538/,L3/L4 imported,,,,,Primary abstract,,,,Log base unverified from abstract; marked low-range effect below100pg/mL; not TT effect,,,,,,,,
v14_048,Mabeck2005,Danish_first_pregnancy_planners,hormone_marker_to_conception,low_range_inhibin_B,100.0,pg/mL,,,,https://pubmed.ncbi.nlm.nih.gov/16024538/,L3/L4 imported,,,,,Primary abstract,,,,"Descriptive concentration range, not a universal deterministic fertility threshold",,,,,,,,
v14_049,LIFE2014,NICHD_LIFE,sperm_to_conception,concentration_single_parameter,1.19,FOR per1SD=57.44million/mL,1.06,1.34,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table3,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_050,LIFE2014,NICHD_LIFE,sperm_to_conception,total_count_single_parameter,1.2,FOR per1SD=196.13million,1.06,1.36,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table3,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_051,LIFE2014,NICHD_LIFE,sperm_to_conception,motility_single_parameter,1.02,FOR per percentage point,1.01,1.02,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table3,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_052,LIFE2014,NICHD_LIFE,sperm_to_conception,strict_morphology_single_parameter,1.03,FOR per percentage point,1.01,1.04,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table3,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_053,LIFE2014,NICHD_LIFE,sperm_to_conception,concentration_joint_model1,1.07,FOR per1SD=57.44million/mL,0.94,1.21,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table4 model1,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_054,LIFE2014,NICHD_LIFE,sperm_to_conception,motility_joint_model1,1.0,FOR per percentage point,0.99,1.02,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3946620/,L3/L4 imported,,,,,Table4 model1,,,,Correlated semen endpoints; do not multiply coefficients across separate models; next-day motility,,,,,,,,
v14_055,AMIGOS2019,AMIGOS,hormones_to_reproductive_endpoints,normal_morphology,0.59,OR lowTT<264 vs >=264ng/dL,0.35,0.99,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2 adjusted for age/BMI,,,,IUI-treated unexplained infertility; male hormone not randomized; birth CI includes1,,,,,,,,
v14_056,AMIGOS2019,AMIGOS,hormones_to_reproductive_endpoints,conception,0.67,OR lowTT<264 vs >=264ng/dL,0.42,1.06,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2 adjusted for age/BMI,,,,IUI-treated unexplained infertility; male hormone not randomized; birth CI includes1,,,,,,,,
v14_057,AMIGOS2019,AMIGOS,hormones_to_reproductive_endpoints,clinical_pregnancy,0.74,OR lowTT<264 vs >=264ng/dL,0.45,1.22,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2 adjusted for age/BMI,,,,IUI-treated unexplained infertility; male hormone not randomized; birth CI includes1,,,,,,,,
v14_058,AMIGOS2019,AMIGOS,hormones_to_reproductive_endpoints,live_birth,0.65,OR lowTT<264 vs >=264ng/dL,0.38,1.12,95% CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2 adjusted for age/BMI,,,,IUI-treated unexplained infertility; male hormone not randomized; birth CI includes1,,,,,,,,
v14_059,AMIGOS2019,AMIGOS,birth_endpoint,live_birth_fraction,0.1875,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2,,,,,,,,21.0,112.0,TT<264,,
v14_060,AMIGOS2019,AMIGOS,birth_endpoint,live_birth_fraction,0.2750373692077728,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6557574/,L3/L4 imported,,,,,Table2,,,,,,,,184.0,669.0,TT>=264,,
v14_061,Huijben2026,Utrecht_HH,linked_cascade_timing,first_spermatogenesis,7.0,months,5.0,13.0,IQR not CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Severe HH treatment; medians are not a population lag; do not subtract medians to estimate within-person interval,,,,,,,,
v14_062,Huijben2026,Utrecht_HH,linked_cascade_timing,pregnancy_from_treatment_start,21.0,months,18.0,30.0,IQR not CI,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Severe HH treatment; medians are not a population lag; do not subtract medians to estimate within-person interval,,,,,,,,
v14_063,Huijben2026,Utrecht_HH,linked_cascade_timing,first_sperm_to_pregnancy_mean,12.2,months,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,2.2,,Results mean12.2±2.2,,,,Exact effective n and spread interpretation not independently resolved; do not use as Gaussian calibration likelihood,,,,,,,,
v14_064,Huijben2026,Utrecht_HH,linked_cascade_endpoints,spermatogenesis,0.7428571428571429,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Different denominators;1pregnancy outcome unknown; no untreated comparison,,,,26.0,35.0,,,
v14_065,Huijben2026,Utrecht_HH,linked_cascade_endpoints,pregnancy_any_route,0.6785714285714286,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Different denominators;1pregnancy outcome unknown; no untreated comparison,,,,19.0,28.0,,,
v14_066,Huijben2026,Utrecht_HH,linked_cascade_endpoints,spontaneous_conception,0.39285714285714285,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Different denominators;1pregnancy outcome unknown; no untreated comparison,,,,11.0,28.0,,,
v14_067,Huijben2026,Utrecht_HH,linked_cascade_endpoints,livebirth_outcome_per_pregnancy,0.92,proportion,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280620/,L3/L4 imported,,,,,Results,,,,Different denominators;1pregnancy outcome unknown; no untreated comparison,,,,23.0,25.0,,,
v14_068,Wilcox1995,Early_pregnancy_study,intercourse_timing_to_conception,day_specific_conception_probability,0.1,probability,,,,https://pubmed.ncbi.nlm.nih.gov/7477165/,L3/L4 imported,,,,,Primary abstract,,,,Do not sum these as independent probabilities across intercourse days,,,,,,,-5.0,
v14_069,Wilcox1995,Early_pregnancy_study,intercourse_timing_to_conception,day_specific_conception_probability,0.33,probability,,,,https://pubmed.ncbi.nlm.nih.gov/7477165/,L3/L4 imported,,,,,Primary abstract,,,,Do not sum these as independent probabilities across intercourse days,,,,,,,0.0,
v14_070,Gettler2011,Cebu,parenthood_feedback,median_T_change_new_partnered_fathers,-0.26,relative change,,,,https://pubmed.ncbi.nlm.nih.gov/21911391/,L3/L4 imported,,,,,Primary abstract,,,,4.5year followup; high baseline waking T also predicted becoming a partnered father; bidirectional dynamics,,,,,,,,waking
v14_071,Gettler2011,Cebu,parenthood_feedback,median_T_change_new_partnered_fathers,-0.34,relative change,,,,https://pubmed.ncbi.nlm.nih.gov/21911391/,L3/L4 imported,,,,,Primary abstract,,,,4.5year followup; high baseline waking T also predicted becoming a partnered father; bidirectional dynamics,,,,,,,,evening
