version,id,exists,line,doi,pmcid,link_status,title,aliases,usage_routes,evidence_relations,claim_ids
published,kury2017_camk2,True,25686,10.1016/j.ajhg.2017.10.003,PMC5673671,verified,De Novo Mutations in Protein Kinase Genes CAMK2A and CAMK2B Cause Intellectual Disability.,,/epistemology;/model;/predictions,,
published,altawashi2018_camk2a,True,18529,,PMC5963920,pending,"Homozygous loss-of-function CAMK2A mutation causes growth delay, seizures and severe intellectual disability",,/model,,
published,scholl2015_cacna1h,True,24550,10.7554/elife.06315,,verified,Recurrent gain of function mutation in calcium channel CACNA1H causes early-onset hypertension with primary aldosteronism,,/evidence/infant-vulnerability;/model,,
published,patke2017_cry1,True,19700,10.1016/j.cell.2017.03.027,PMC5479574,verified,Mutation of the Human Circadian Clock Gene CRY1 in Familial Delayed Sleep Phase Disorder.,,/model,,
published,cry1_observational2021,True,13565,,PMC8505610,pending,Observational study of CRY1 c.1657+3A>C variant: sleep-wake patterns and circadian metabolic output,,,,
published,gut_per2_2026,True,30110,10.1002/advs.202501818,PMC12631932,verified,A Peripheral Mechanism of Depression: Disturbed Intestinal Epithelial Per2 Gene Expression Causes Depressive Behaviors in Mice with Circadian Rhythm Disruption via Gut Barrier Damage and Microbiota Dysbiosis,,/evidence/gut-brain-axis;/evidence/triple-strikes;/evidence/unbroken-chain;/evidence/walker-chain,,
published,catsper2024,True,14396,10.1172/jci173564,PMC10760960,verified,Human fertilization in vivo and in vitro requires the CatSper channel to initiate sperm hyperactivation,catsper_human;young2024_catsper_hyperactivation,/biology;/data;/evidence;/evidence/convergence;/evidence/pharmacology;/evidence/reproductive-navigation;/evidence/unbroken-chain;/explore;/map;/model/biological-coordination,er.coordination.catsper2024,claim.reproduction.local-clock-gates
published,scirep2016_ionophore,True,10835,10.1038/srep33589,,pending,Ca²⁺ ionophore rescues CatSper knockout sperm capacitation,,/evidence/pharmacology;/evidence/reproductive-navigation,,
published,catsper_2021,True,33021,10.1093/humrep/deab130.035,,verified,P–036 Investigation of the 2100 MHz electromagnetic field effects on sperm CatSper calcium channel,,/data;/evidence;/evidence/pharmacology;/evidence/reproductive-navigation;/evidence/triple-strikes;/evidence/unbroken-chain;/explore;/map;/model/biological-coordination,er.sperm.ayas2021,claim.sperm.rf-rat-endpoints
published,camkii_pancreas_diabetes,True,1586,,PMC3596297,registered,CaMKII hyperphosphorylation of RyR2 in pancreatic beta cells,,/civilization/patopoliteia,,
published,tester2026_genetics,True,21779,,,missing,Genetic basis of sudden infant death syndrome: ion channel and cardiac arrhythmia genes,,,,
published,bertagna2025,True,3625,10.1111/nyas.15386,,verified,Electromagnetic fields modulate neuronal membrane ionic currents through altered cellular calcium homeostasis,,/evidence/devices;/evidence/pharmacology;/map;/model;/model/biological-coordination;/modulome,er.modulome.bertagna2025,claim.modulome.calcium-compartment-cycle
published,sousouri2025,True,1320,10.1016/j.neuroimage.2025.121340,,verified,CACNA1C genotype determines sleep EEG response to 5G exposure in double-blind study,,/about/objections;/articles/implausibility;/epistemology;/evidence/bbb;/evidence/cascades;/evidence/circadian;/evidence/magnetoreception;/evidence/pharmacology;/evidence/technology;/evidence/unbroken-chain;/map;/mathematics;/model;/model/biological-coordination;/model/math;/modulome;/objections;/predictions,er.modulome.sousouri2025,claim.modulome.genotype-exposure-interaction
published,finkelstein2013_gonadal_steroids,True,34865,10.1056/nejmoa1206168,PMC4142768,verified,"Gonadal steroids and body composition, strength, and sexual function in men",,/behavior;/biology;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.behavior.sexual-motivation.finkelstein2013_gonadal_steroids,claim.behavior.sexual-motivation
published,mills2023_kisspeptin,True,34889,10.1001/jamanetworkopen.2022.54313,PMC9898824,verified,Effects of Kisspeptin on Sexual Brain Processing and Penile Tumescence in Men With Hypoactive Sexual Desire Disorder: A Randomized Clinical Trial,,/behavior;/biology;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.behavior.sexual-motivation.mills2023_kisspeptin,claim.behavior.sexual-motivation
published,westbrook2020_dopamine_effort,True,34913,10.1126/science.aaz5891,PMC7430502,verified,Dopamine promotes cognitive effort by biasing the benefits versus costs of cognitive work,,/behavior;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.behavior.state-dependent-valuation.westbrook2020_dopamine_effort,claim.behavior.state-dependent-valuation
published,draper2018_inflammation_effort,True,34985,10.1038/npp.2017.231,PMC5854801,verified,Effort but not Reward Sensitivity is Altered by Acute Sickness Induced by Experimental Endotoxemia in Humans,,/behavior;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.behavior.state-dependent-valuation.draper2018_inflammation_effort,claim.behavior.state-dependent-valuation
published,jurgelis2022_sleep_effort,True,34961,10.2147/nss.s368335,PMC9642807,verified,Sleep Restriction Reduces Cognitive but Not Physical Motivation,,/behavior;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.behavior.state-dependent-valuation.jurgelis2022_sleep_effort,claim.behavior.state-dependent-valuation
published,lamia2011_cry_glucocorticoid,True,226,10.1038/nature10700,PMC3245818,verified,Cryptochromes mediate rhythmic repression of the glucocorticoid receptor,,/articles/dual-lock;/biology;/civilization;/civilization/pathopege;/evidence/circadian;/evidence/convergence;/evidence/nutrition;/evidence/pharmacology;/evidence/reproductive-arc;/map;/model;/model/biological-coordination,er.coordination.lamia2011_cry_glucocorticoid;er.coordination.cry-steroid-feedback.lamia2011_cry_glucocorticoid,claim.coordination.cry-steroid-feedback;claim.cry.endocrine-gating
published,manella2026_cry2_steroid_clock,True,34745,10.1038/s41467-025-67349-5,PMC12819556,verified,Steroid hormone receptors through Cry2 are key players in the circadian clock response to serum,,/biology;/evidence/convergence;/evidence/pharmacology;/map;/model/biological-coordination,er.coordination.cry-steroid-feedback.manella2026_cry2_steroid_clock,claim.coordination.cry-steroid-feedback
working,splawski2004,True,4201,10.1016/j.cell.2004.09.011,,pending,CACNA1C channelopathy study,timothy_syndrome_cacna1c_autism,/data;/evidence;/evidence/timothy-experiment;/explore;/modulome/heart,,
working,splawski2005_cardiac_ltype,True,4251,10.1073/pnas.0502506102,PMC1149428,verified,Severe arrhythmia disorder caused by cardiac L-type calcium channel mutations,,/evidence/timothy-experiment,,
working,bader2011_timothy_mouse,True,4730,10.1073/pnas.1112667108,PMC3174658,verified,Mouse model of Timothy syndrome recapitulates triad of autistic traits,,/evidence/timothy-experiment,,
working,bhat2012_cacna1c_psychiatric,True,4858,10.1016/j.pneurobio.2012.06.001,PMC3459072,verified,CACNA1C (Cav1.2) in the pathophysiology of psychiatric disease,,/evidence/timothy-experiment,,
working,pmc6894750_timothy,True,16075,10.1371/journal.pgen.1008488,PMC6894750,verified,An autism-causing calcium channel variant functions with selective autophagy to alter axon targeting and behavior,plos_genetics_2019_axon_targeting,/data;/evidence;/evidence/cascades;/explore;/map;/modulome/brain,,
working,timothy-syndrome-cacna1c-autism,True,16129,,,missing,Timothy syndrome G406R CACNA1C mutation causes autism via disrupted axon targeting,,/measurement/fieldstate/math;/model,,
working,timothy-cardiac-2023,True,25736,10.1016/j.hrcr.2023.05.012,,verified,Hypertrophic cardiomyopathy and long QT syndrome in cardiac-only Timothy syndrome,,,,
working,pgc-cacna1c-five-disorders,True,15261,,,missing,CACNA1C variants associated with five major psychiatric disorders,pgc_five_disorders_cacna1c,/data;/evidence;/evidence/timothy-experiment;/explore;/measurement/fieldstate/math;/model;/modulome/brain,,
working,cacna1c_autism,True,24568,10.1371/journal.pone.0133247,,pending,CACNA1D de novo mutations in autism spectrum disorders,,,,
working,cacna1d_family2022,True,14378,,PMC9693521,pending,WES identifies heterozygous CACNA1D variant associated with familial sinus node dysfunction and focal epilepsy,,,,
working,aging-cell-2024-cav13-hearing,True,25769,10.1111/acel.14305,,verified,Upregulation of the Cav1.3 channel in inner hair cells by interleukin 6-dependent inflammaging contributes to age-related hearing loss,,/measurement/fieldstate/math;/model;/modulome/ear,,
working,nejm-fhm-cacna1a,True,23729,,,missing,The clinical spectrum of FHM associated with mutations in a neuronal Ca channel,,/measurement/fieldstate/math;/model,,
working,fhm1_cacna1a,True,7961,10.3390/ijms22052688,,pending,"FHM1 CACNA1A mutations: P/Q-type Ca²⁺ channels, glia interactions, and CSD",,,,
working,kury2017_camk2,True,14314,10.1016/j.ajhg.2017.10.003,PMC5673671,verified,De Novo Mutations in Protein Kinase Genes CAMK2A and CAMK2B Cause Intellectual Disability.,,/epistemology;/model;/predictions,,
working,altawashi2018_camk2a,True,14347,,PMC5963920,pending,"Homozygous loss-of-function CAMK2A mutation causes growth delay, seizures and severe intellectual disability",,/model,,
working,scholl2015_cacna1h,True,14282,10.7554/elife.06315,,verified,Recurrent gain of function mutation in calcium channel CACNA1H causes early-onset hypertension with primary aldosteronism,,/evidence/infant-vulnerability;/model,,
working,patke2017_cry1,True,8763,10.1016/j.cell.2017.03.027,PMC5479574,verified,Mutation of the Human Circadian Clock Gene CRY1 in Familial Delayed Sleep Phase Disorder.,,/model,,
working,cry1_observational2021,True,8795,,PMC8505610,pending,Observational study of CRY1 c.1657+3A>C variant: sleep-wake patterns and circadian metabolic output,,,,
working,gut_per2_2026,True,7155,10.1002/advs.202501818,PMC12631932,verified,A Peripheral Mechanism of Depression: Disturbed Intestinal Epithelial Per2 Gene Expression Causes Depressive Behaviors in Mice with Circadian Rhythm Disruption via Gut Barrier Damage and Microbiota Dysbiosis,,/evidence/gut-brain-axis;/evidence/triple-strikes;/evidence/unbroken-chain;/evidence/walker-chain,,
working,catsper2024,True,6614,10.1172/jci173564,PMC10760960,verified,Human fertilization in vivo and in vitro requires the CatSper channel to initiate sperm hyperactivation,catsper_human;young2024_catsper_hyperactivation,/biology;/data;/evidence;/evidence/convergence;/evidence/reproductive-navigation;/evidence/unbroken-chain;/explore;/map;/model/biological-coordination,er.coordination.catsper2024,claim.reproduction.local-clock-gates
working,scirep2016_ionophore,True,27104,10.1038/srep33589,,pending,Ca²⁺ ionophore rescues CatSper knockout sperm capacitation,,/evidence/pharmacology;/evidence/reproductive-navigation,,
working,catsper_2021,True,1172,10.1093/humrep/deab130.035,,verified,P–036 Investigation of the 2100 MHz electromagnetic field effects on sperm CatSper calcium channel,,/data;/evidence;/evidence/reproductive-navigation;/evidence/triple-strikes;/evidence/unbroken-chain;/explore;/map,er.sperm.ayas2021,claim.sperm.rf-rat-endpoints
working,camkii_pancreas_diabetes,True,30473,,PMC3596297,registered,CaMKII hyperphosphorylation of RyR2 in pancreatic beta cells,,/civilization/patopoliteia,,
working,tester2026_genetics,True,9513,,,missing,Genetic basis of sudden infant death syndrome: ion channel and cardiac arrhythmia genes,,,,
working,bertagna2025,True,25985,10.1111/nyas.15386,,verified,Electromagnetic fields modulate neuronal membrane ionic currents through altered cellular calcium homeostasis,,/evidence/devices;/evidence/pharmacology;/map;/model;/modulome,er.modulome.bertagna2025,claim.modulome.calcium-compartment-cycle
working,sousouri2025,True,11516,10.1016/j.neuroimage.2025.121340,,verified,CACNA1C genotype determines sleep EEG response to 5G exposure in double-blind study,,/about/objections;/articles/implausibility;/epistemology;/evidence/bbb;/evidence/cascades;/evidence/circadian;/evidence/magnetoreception;/evidence/technology;/evidence/unbroken-chain;/map;/mathematics;/model;/model/math;/modulome;/objections;/predictions,er.modulome.sousouri2025,claim.modulome.genotype-exposure-interaction
working,finkelstein2013_gonadal_steroids,True,33760,10.1056/nejmoa1206168,PMC4142768,verified,"Gonadal steroids and body composition, strength, and sexual function in men",,/behavior;/biology;/evidence/convergence;/map,er.behavior.sexual-motivation.finkelstein2013_gonadal_steroids,claim.behavior.sexual-motivation
working,mills2023_kisspeptin,True,33784,10.1001/jamanetworkopen.2022.54313,PMC9898824,verified,Effects of Kisspeptin on Sexual Brain Processing and Penile Tumescence in Men With Hypoactive Sexual Desire Disorder: A Randomized Clinical Trial,,/behavior;/biology;/evidence/convergence;/map,er.behavior.sexual-motivation.mills2023_kisspeptin,claim.behavior.sexual-motivation
working,westbrook2020_dopamine_effort,True,33808,10.1126/science.aaz5891,PMC7430502,verified,Dopamine promotes cognitive effort by biasing the benefits versus costs of cognitive work,,/behavior;/evidence/convergence;/map,er.behavior.state-dependent-valuation.westbrook2020_dopamine_effort,claim.behavior.state-dependent-valuation
working,draper2018_inflammation_effort,True,33880,10.1038/npp.2017.231,PMC5854801,verified,Effort but not Reward Sensitivity is Altered by Acute Sickness Induced by Experimental Endotoxemia in Humans,,/behavior;/evidence/convergence;/map,er.behavior.state-dependent-valuation.draper2018_inflammation_effort,claim.behavior.state-dependent-valuation
working,jurgelis2022_sleep_effort,True,33856,10.2147/nss.s368335,PMC9642807,verified,Sleep Restriction Reduces Cognitive but Not Physical Motivation,,/behavior;/evidence/convergence;/map,er.behavior.state-dependent-valuation.jurgelis2022_sleep_effort,claim.behavior.state-dependent-valuation
working,lamia2011_cry_glucocorticoid,True,32794,10.1038/nature10700,PMC3245818,verified,Cryptochromes mediate rhythmic repression of the glucocorticoid receptor,,/articles/dual-lock;/biology;/civilization;/civilization/pathopege;/evidence/circadian;/evidence/convergence;/evidence/nutrition;/evidence/reproductive-arc;/map;/model;/model/biological-coordination,er.coordination.lamia2011_cry_glucocorticoid;er.coordination.cry-steroid-feedback.lamia2011_cry_glucocorticoid,claim.coordination.cry-steroid-feedback;claim.cry.endocrine-gating
working,manella2026_cry2_steroid_clock,True,33640,10.1038/s41467-025-67349-5,PMC12819556,verified,Steroid hormone receptors through Cry2 are key players in the circadian clock response to serum,,/biology;/evidence/convergence;/map,er.coordination.cry-steroid-feedback.manella2026_cry2_steroid_clock,claim.coordination.cry-steroid-feedback
